Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,711.528132851244,26.96245513781337,3.7893730258801015
Av Savings Contractors,773.3486830178116,24.04981077992623,3.1098275988623256
Av Savings Managers,685.5292202147766,25.85145693123938,3.771021886293936
Av Savings non-Alliance,755.5608878338877,25.053551902639445,3.315887879594363
Total Fuel Used,40205.8624,4076.189518811525,10.138296446071319
steps,10824.2,8342.006499904232,77.06811126830834
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2823.7035131540015,55.949245065339625,1.981413586968478
std_arrival_time,120.18898663906273,19.189709718778637,15.966279652899388
