Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,500.0,0.0,0.0
Av Savings Alliance,667.9378186840654,25.872761138903726,3.873528405664591
Av Savings Contractors,703.1896789613248,27.69717604257193,3.938791605059275
Av Savings Managers,654.2461349981597,23.466986908320834,3.586874366233259
Av Savings non-Alliance,694.1527257709217,26.924127014912802,3.8787036361502483
Total Fuel Used,35988.281,3540.1753921035543,9.837022757779271
steps,8090.15,7650.4803445617235,94.56537078498822
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2513.114343088364,82.96830854012546,3.301413991301557
std_arrival_time,185.25738954716948,26.759055955372837,14.444258348226132
