Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,500.0,0.0,0.0
Av Savings Alliance,659.6088177484677,29.11456459120235,4.413913793721413
Av Savings Contractors,696.3044718164499,25.09847438062902,3.6045258068147423
Av Savings Managers,644.8077100848566,28.265007686558928,4.383478554069904
Av Savings non-Alliance,686.8884994591672,27.26522783520888,3.969381909389457
Total Fuel Used,34044.5965,1041.473291780287,3.059144178079147
steps,3513.09,395.6157735771291,11.261190962290437
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2489.911493265017,89.09923194551386,3.5784096015669293
std_arrival_time,182.66241551061103,26.63500862512883,14.581548454110735
