Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,780.7276972870059,35.68726532854777,4.571025909873497
Av Savings Contractors,856.2037429997353,27.43631866563487,3.204414707358194
Av Savings Managers,729.023341582274,25.851116363680507,3.5459929592340873
Av Savings non-Alliance,817.6888232827291,23.620307581303724,2.8886670465271385
Total Fuel Used,40391.295699999995,840.6818367365246,2.081344067247946
steps,3703.03,301.11625510906765,8.131618029264349
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,3159.379368249947,27.42387873759269,0.8680147440724539
std_arrival_time,56.81165961509343,10.658710072126146,18.761483372146365
