Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,630.0898743715159,60.05959144314824,9.531908682559735
Av Savings Contractors,638.7046706287125,44.88386522638785,7.027326914989702
Av Savings Managers,639.9887742096419,40.75228765197212,6.367656636212004
Av Savings non-Alliance,645.4559244496014,39.77488308119269,6.162292663919673
Total Fuel Used,31960.9156030542,1296.3672592910775,3.748521616437688
steps,3946.6,162.2914823782359,4.112184725541882
negotiation_method,1.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2664.5013411124587,121.42532061165107,4.557149915374209
std_arrival_time,201.98892561043994,45.36404888031645,22.458681208991877
