Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
Av Savings Alliance,652.9482759194238,33.08940637436007,5.067691821035365
Av Savings Contractors,693.7768221648923,27.565267951479026,3.9732183420978417
Av Savings Managers,641.2466830979902,31.571022899783284,4.92338186409907
Av Savings non-Alliance,686.5306952580881,27.224795743777076,3.9655613262189875
Total Fuel Used,36805.496666666666,3881.4282612580632,10.545784224597423
steps,11034.613333333333,8443.230643528566,76.51587226915578
communication_range,200.0,0.0,0.0
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,75.0,0.0,0.0
mean_arrival_time,2484.4182109425383,90.68001328375362,3.6499496294285914
std_arrival_time,182.16796185136963,26.233521077377652,14.400732604551791
