Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,656.3970563504446,28.503677117316364,4.342444385079403
Av Savings Contractors,698.4619579640374,24.670623763207068,3.5321356420212244
Av Savings Managers,642.0764307693748,28.459361346440552,4.4323946469019
Av Savings non-Alliance,689.6234850438444,25.70795377145721,3.7278245780482324
Total Fuel Used,34086.0795,1135.998660878581,3.332734880462216
steps,3425.99,251.0890016860093,7.328947302415048
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2487.5721640149363,88.30423115406859,3.54981585786624
std_arrival_time,179.44973505812635,26.2390068279083,14.621925643640049
