Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,50.0,0.0,0.0
Av Savings Alliance,599.610271661571,52.115887716108865,8.691626908206777
Av Savings Contractors,613.8183337377832,47.05503249452228,7.665954225900282
Av Savings Managers,600.7306779829296,43.37584065990631,7.220513659390453
Av Savings non-Alliance,614.8949392247546,44.88549207084435,7.2997010070427555
Total Fuel Used,33500.052,1433.7430861443297,4.279823464585457
steps,3976.42,92.7266189321376,2.3319120951040784
negotiation_method,1.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2600.231772926649,106.76865337563663,4.1061206346026955
std_arrival_time,204.79887338960907,35.92830802026837,17.54321565622991
