Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,657.4955876192673,26.728677066275033,4.0652253139914105
Av Savings Contractors,697.5408015674792,24.65159560005996,3.5340722069109236
Av Savings Managers,645.8664948084056,27.20789917889127,4.212619697351295
Av Savings non-Alliance,690.3057967521496,26.58299004910999,3.8509005971239825
Total Fuel Used,34057.567200000005,1038.7740091361202,3.0500534669314843
steps,3515.2,388.0230129591009,11.038433459237055
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2498.571196435085,84.31326155817204,3.374459037968126
std_arrival_time,183.65036928957892,27.5414191408996,14.996658731174364
