Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,50.0,0.0,0.0
Av Savings Alliance,623.8898084201523,28.05912780822409,4.4974492978619
Av Savings Contractors,681.4814179107661,24.58689044811019,3.6078592610033016
Av Savings Managers,606.3975160335837,24.992909743840276,4.121538938239336
Av Savings non-Alliance,670.3635359394306,25.92775503613523,3.867715597000772
Total Fuel Used,32652.806399999998,1027.0807140398292,3.1454592339108385
steps,3384.75,411.09691587559286,12.145562179646735
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2420.866817760964,69.71088654913697,2.879583710995382
std_arrival_time,166.09068798068841,25.744747071220967,15.500415697124659
