Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,783.4781451913096,28.070330761060458,3.582784144439185
Av Savings Contractors,854.0503006122964,22.07543179347639,2.5847929305393134
Av Savings Managers,731.8462429356266,26.46399173410959,3.6160589727092947
Av Savings non-Alliance,816.0191226430954,24.38650775261205,2.9884725830473027
Total Fuel Used,43076.35309999999,4199.930852464144,9.749968486687292
steps,10543.53,8254.93475854157,78.29384237102346
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,3160.0025433860196,30.14675671493978,0.954010520593974
std_arrival_time,58.20261700233053,8.339531232114522,14.32844717580413
