Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,716.8920310905473,29.688336083060914,4.141256255547792
Av Savings Contractors,775.8762973664894,29.327847801521294,3.779964396523912
Av Savings Managers,692.3186990759959,24.14092451819776,3.4869669922851245
Av Savings non-Alliance,759.4140600030094,28.60376421226467,3.7665571022152684
Total Fuel Used,37166.8579,1012.1748759815532,2.7233264611845307
steps,3528.67,317.9703643836366,9.01105414741635
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2819.6744323716894,66.77643747146952,2.368232186838053
std_arrival_time,119.49252030486493,18.214047349121838,15.242834700156783
