Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,664.1663920667484,25.86258024226713,3.8939911069254998
Av Savings Contractors,702.9862687297143,24.010486000878448,3.4154985764181482
Av Savings Managers,653.7690256138156,24.710112172845974,3.7796394758295495
Av Savings non-Alliance,696.3459676299286,24.36346376229729,3.4987585043710903
Total Fuel Used,34173.706870165246,1117.549339008335,3.270202273502825
steps,3196.01,122.99671466418043,3.8484458641925534
negotiation_method,0.0,0.0,
joining_method,0.0,0.0,
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2489.6980960000005,87.65523995194073,3.5207176361169825
std_arrival_time,180.97803239642064,30.327194879555208,16.757390097559163
